,Local Authority code,Local Authority name,Threatened with homelessness within 56 days-Prevention duty owed,Homeless - Relief duty owed4,Total households with support needs,Total secured accommodation,Homeless (including intentionally homeless),Size_of_social_housing_waiting_list_2021,2021 Total Lettings,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020
299,E07000035,Derbyshire Dales,47,8,27,43,3,1000,40.0,10980,13250,8230,2240,265000.0,33163,7.99,190000.0,21912,8.67
300,E07000112,Folkestone Hythe,30,66,28,14,14,1170,80.0,19800,22450,7840,1980,265000.0,31690,8.36,200000.0,22098,9.05
301,E07000181,West Oxfordshire,35,41,40,9,5,2839,120.0,7420,28480,11750,3230,345000.0,33113,10.42,270000.0,24742,10.91
302,E07000039,South Derbyshire,18,36,28,17,1,853,133.0,22540,16200,7150,1050,205000.0,34642,5.92,155000.0,25228,6.14
303,E09000002,Barking Dagenham,219,112,95,89,36,5585,187.0,18060,56730,2120,60,320000.0,33241,9.63,285000.0,26069,10.93
304,E07000221,Stratford-on-Avon,65,68,90,41,9,5216,324.0,11970,27760,16080,6540,315000.0,33352,9.44,235000.0,23318,10.08
305,E07000179,South Oxfordshire,83,10,55,66,2,2779,163.0,7830,31960,16730,6910,390000.0,38602,10.1,307500.0,28325,10.86
306,E07000027,Barrow-in-Furness,32,32,58,25,3,1406,96.0,25400,7150,1290,80,126000.0,35139,3.59,85000.0,22727,3.74
307,E07000219,Nuneaton Bedworth,65,126,141,30,16,1908,210.0,33950,20690,3560,210,185000.0,28807,6.42,140500.0,21409,6.56
308,E07000084,Basingstoke Deane,51,27,54,32,4,4922,359.0,14990,42140,17510,3820,315000.0,37518,8.4,250000.0,25296,9.88
309,E07000115,Tonbridge Malling,16,41,36,1,8,1171,97.0,5790,29750,14670,5300,350000.0,35997,9.72,275000.0,27195,10.11
310,E07000053,Weymouth Portland,,,,,,..,,,,,,,,,,,
311,W06000016,Rhondda Cynon Taf,,,,,,,,,,,,115000.0,27846,4.13,80000.0,20858,3.84
312,W06000012,Neath Port Talbot,,,,,,,,,,,,122500.0,27116,4.52,89992.5,21151,4.25
313,E07000132,Hinckley Bosworth,-51,-51,..,..,..,717,114.0,24570,18500,6650,1130,205000.0,29514,6.95,165000.0,23558,7.0
314,E07000193,East Staffordshire,16,48,12,3,0,3735,183.0,29630,15180,7150,1320,195500.0,29037,6.73,140000.0,22652,6.18
315,E07000242,East Hertfordshire,53,71,53,41,8,2174,190.0,6960,32090,18930,6490,410000.0,40422,10.14,320000.0,28223,11.34
316,E09000013,Hammersmith Fulham,110,158,43,60,20,1957,104.0,10730,39420,26890,14470,765000.0,41262,18.54,500000.0,30044,16.64
317,E06000040,Windsor Maidenhead,61,60,48,21,16,970,73.0,5970,26310,21700,11610,499475.0,43487,11.49,375000.0,29388,12.76
318,W06000014,Vale of Glamorgan ,,,,,,,,,,,,227000.0,28869,7.86,161310.0,20061,8.04
319,E09000020,Kensington Chelsea,79,170,0,43,32,3192,247.0,5190,23570,25540,35080,1265000.0,46568,27.16,740000.0,28084,26.35
320,E07000218,North Warwickshire,14,12,15,4,6,330,103.0,14040,10170,3760,820,210000.0,31392,6.69,157500.0,22990,6.85
321,E06000010,Kingston upon Hull,318,471,261,140,19,6469,1234.0,105840,15410,1700,100,118500.0,25489,4.65,89000.0,19999,4.45
322,E06000013,North Lincolnshire,103,52,69,46,8,4189,454.0,51450,18970,5460,560,145000.0,28998,5.0,110000.0,20780,5.29
323,E07000196,South Staffordshire,9,3,1,3,3,667,196.0,17570,18680,8860,2660,235000.0,35980,6.53,180950.0,26526,6.82
324,E07000099,North Hertfordshire,46,75,65,25,14,2766,121.0,12490,30260,11930,3780,360000.0,39748,9.06,277000.0,28123,9.85
325,E08000021,Newcastle upon Tyne,156,345,61,60,7,5710,1014.0,97750,28870,7350,1910,165000.0,28957,5.7,112500.0,21183,5.31
326,E07000009,East Cambridgeshire,65,30,66,25,9,1002,208.0,16040,14900,6910,840,300000.0,32743,9.16,230000.0,25116,9.16
327,E07000180,Vale of White Horse,80,16,60,59,8,2456,298.0,7980,31260,15760,4980,345000.0,37126,9.29,275000.0,25031,10.99
328,E07000195,Newcastle-under-Lyme,47,57,36,20,6,1269,169.0,35120,16250,4570,1000,152500.0,29849,5.11,113000.0,21739,5.2
329,E07000012,South Cambridgeshire,46,77,54,34,9,1763,239.0,10410,34350,19530,4960,375000.0,38726,9.68,285500.0,26946,10.6
330,E09000021,Kingston upon Thames,41,37,40,16,26,2812,143.0,4090,35900,23340,5250,492000.0,41264,11.92,377000.0,30795,12.24
331,E09000027,Richmond upon Thames,21,67,37,15,19,4893,101.0,2760,34110,31860,16460,675000.0,50006,13.5,475000.0,33458,14.2
